                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7482,                 3.0516,                 1.4664,                0.58783,                0.61309,                0.61567,                0.27803,                 1.8678,                  2.455,                 1.4799,               0.080218,             0.00019982,             0.00019982
                      2,                  1.586,                  2.161,                 1.3589,                0.69731,                0.69529,                0.70965,                0.34032,                 1.7785,                 2.0896,                 1.4606,               0.060418,             0.00039972,             0.00039972
                      3,                 1.5341,                 1.9315,                 1.3322,                0.79512,                0.71055,                0.74415,                0.40025,                 1.6736,                 1.8909,                 1.3645,               0.040618,             0.00059922,             0.00059922
                      4,                 1.4926,                 1.8296,                 1.3115,                0.80479,                0.72985,                0.76604,                0.39534,                 1.7179,                 1.8034,                 1.3899,               0.020816,             0.00079804,             0.00079804
                      5,                  1.476,                 1.7592,                 1.3009,                0.79365,                 0.7184,                0.76309,                 0.4142,                 1.6622,                 1.7677,                 1.3557,              0.0010143,             0.00099587,             0.00099587
                      6,                 1.4802,                 1.7099,                 1.3099,                0.81637,                 0.7287,                0.77161,                0.43607,                  1.573,                  1.736,                 1.3123,             0.00099384,             0.00099384,             0.00099384
                      7,                 1.4426,                 1.6605,                   1.28,                0.77906,                0.74957,                0.76142,                0.42082,                 1.6575,                 1.7565,                 1.3558,             0.00099114,             0.00099114,             0.00099114
                      8,                 1.4243,                 1.5834,                 1.2612,                0.79655,                 0.7706,                0.79361,                0.41382,                 1.6567,                 1.6226,                 1.3585,             0.00098796,             0.00098796,             0.00098796
                      9,                 1.3999,                  1.541,                 1.2653,                0.84459,                0.75135,                 0.7962,                0.46489,                 1.5227,                 1.5654,                 1.2958,             0.00098429,             0.00098429,             0.00098429
                     10,                 1.3819,                 1.4971,                 1.2518,                0.80385,                0.77109,                0.80575,                0.45185,                 1.5552,                 1.6504,                 1.2984,             0.00098015,             0.00098015,             0.00098015
                     11,                 1.4397,                 1.6548,                 1.4968,                0.83093,                0.77211,                0.79567,                0.43696,                 1.6197,                  1.712,                 1.7105,             0.00097553,             0.00097553,             0.00097553
